orbital_period,transit_duration,transit_depth,planet_radius,planet_radiuJ,pl_masse,pl_massj,insolation,equilibrium_temp,pl_orbeccen,inclination,stellar_temp,stellar_radius,stellar_mass,st_met,stellar_logg,discoverymethod,disposition
1.57771549,3.086,1.823,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,5163,1.15585,0.87,-0.01,4.25178,Transit,CANDIDATE
1.57771549,2.993,0.875,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,7333,2.56752,1.66,-0.01,3.83915,Transit,CANDIDATE
13.0113,2.2008,0.065,2.43,0.217,12.2,0.0383853,78,713,0.075,88.6971,5347,0.880221,0.92,-0.01,4.51267,Transit,CANDIDATE
40.70206194,1.621,0.536,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,3759,0.572892,0.565387,-0.01,4.67427,Transit,CANDIDATE
21.204739,2.7888,0.1357,9.11013939,0.81,12.2,0.0383853,78,809,0.075,83.49032,5154,1.761722,0.88,-0.26,3.91,Transit,CANDIDATE
2.519334,1.54512,0.1357,3.91,0.349,12.2,0.0383853,78,809,0.075,88.6971,6283,1.45,0.88,-0.01,4.17,Transit,FALSE POSITIVE
2.5194039,1.113,0.1935,7.65729,0.68313883,12.2,0.0383853,219.344,809,0.075,88.6971,6380,1.76,0.88,-0.01,4.4905,Transit,FALSE POSITIVE
2.519386,1.584,0.2036,19.6,1.75,12.2,0.0383853,78,809,0.075,88.6971,5293,2.03,0.88,-0.01,4.4905,Transit,FALSE POSITIVE
2.51881781,1.58,0.215,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,6380,1.76277,0.88,-0.67,4.4905,Transit,FALSE POSITIVE
2.5194078,1.24,0.181,7.99,0.71282006,12.2,0.0383853,78,809,0.075,88.6971,7119,1.72,0.88,-0.01,4.4905,Transit,FALSE POSITIVE
13.383629,2.7888,0.1357,2.87289326,0.26,12.2,0.0383853,78,809,0.075,89.24743,5216,0.815235,0.88,0.16,4.7,Transit,CANDIDATE
13.38382,2.2008,0.12,2.7,0.24,12.2,0.0383853,78,608,0.075,88.6971,5113.71,0.65973,0.86,0.192,4.73383,Transit,CANDIDATE
11.8951,2.7888,0.1357,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,5040,0.68,0.88,-0.01,4.4905,Transit,CANDIDATE
40.1401,3.024,1.896,20.8,1.86,12.2,0.0383853,78,809,0.075,88.6971,5293,0.716,0.88,-0.01,4.4905,Transit,CANDIDATE
7.4433,1.632,0.116,2.73,0.244,12.2,0.0383853,78,809,0.075,88.6971,5293,0.724,0.88,-0.01,4.4905,Transit,CANDIDATE
2.638,1.6992,0.11,2.91,0.26,12.2,0.0383853,78,1313,0.075,88.6971,4264.47,0.8640925,0.88,0.0784,4.4905,Transit,CANDIDATE
27.47083,5.5008,0.15,3.36,0.3,12.2,0.0383853,78,480,0.075,88.6971,4947.03,0.749863,0.81,-0.2022,4.59659,Transit,CANDIDATE
2.8268121,6.8,14.1,40.1,3.57748238,12.2,0.0383853,78,809,0.075,88.6971,5736,0.98,0.88,-0.01,4.4905,Transit,CANDIDATE
0.72091,2.7888,0.1357,1.5,0.13382127,12.2,0.0383853,78,809,0.075,88.5,5633,0.94,0.88,-0.053,4.4,Transit,CONFIRMED
4.44044,2.712,0.01414,1.32,0.118,12.2,0.0383853,78,809,0.075,88.6971,5293,1.053,0.88,-0.01,4.4905,Transit,CANDIDATE
4.4416421,2.74,0.0143,1.17,0.10438041,12.2,0.0383853,78,809,0.075,88.6971,5547,0.9,0.88,-0.01,4.4905,Transit,CANDIDATE
4.441258,2.7888,0.1357,1.12422498,0.1,12.2,0.0383853,78,809,0.075,87.00105,5450,0.833852,0.88,-0.13,4.54,Transit,CANDIDATE
11.20381,1.1328,0.0354,2.18,0.194,12.2,0.0383853,78,809,0.075,88.6971,5293,1.1,0.88,-0.01,4.4905,Transit,CANDIDATE
8.006875,2.5,0.1357,2.384,0.2126866,12.2,0.0383853,78,809,0.075,88.6971,5403,0.846,0.904,-0.047,4.538,Transit,CANDIDATE
3.3643115,7.4,35.2,85.6,7.63672049,12.2,0.0383853,78,809,0.075,88.6971,6240,1.32,0.88,-0.01,4.4905,Transit,CANDIDATE
2.13174,2.7888,0.1357,0.692,0.0617361,12.2,0.0383853,78,809,0.075,88.6971,5293,0.8640925,0.78,-0.01,4.4905,Transit,CONFIRMED
13.837814,2.84,0.0663,1.96,0.17485949,12.2,0.0383853,78,809,0.075,88.6971,4535,0.7,0.88,-0.01,4.4905,Transit,CANDIDATE
13.8394,2.52,0.0487,1.29,0.115,12.2,0.0383853,78,809,0.075,88.6971,5293,0.554,0.88,-0.01,4.4905,Transit,CANDIDATE
7.79983,3,0.0561,1.37,0.122,12.2,0.0383853,78,809,0.075,88.6971,5293,0.554,0.88,-0.01,4.4905,Transit,CANDIDATE
7.7991586,2.94,0.0423,1.57,0.14006602,12.2,0.0383853,78,809,0.075,88.6971,4535,0.7,0.88,-0.01,4.4905,Transit,CANDIDATE
3.883,2.03,0.0322,1.06,0.09456703,12.2,0.0383853,162,809,0.075,88.6971,5293,0.554,0.88,-0.01,4.4905,Transit,CANDIDATE
2.3330982,1.4,0.993,5.48,0.48889285,12.2,0.0383853,78,809,0.075,88.6971,3726,0.5,0.88,-0.01,4.4905,Transit,CANDIDATE
2.33293,1.2096,0.1357,3.2,0.29,12.2,0.0383853,78,809,0.075,88.6971,3508,0.224,0.88,-0.01,5.062,Transit,CANDIDATE
2.333123,1.128,1.27,2.95,0.263,12.2,0.0383853,78,809,0.075,88.6971,5293,0.224,0.88,-0.01,4.4905,Transit,CANDIDATE
20.2073,3.72,0.0735,2.12,0.189,12.2,0.0383853,78,809,0.075,88.6971,5293,0.7624,0.88,-0.01,4.4905,Transit,CANDIDATE
36.7099,17.664,0.1357,2.6,0.23142158,12.2,0.0383853,78,809,0.075,82.6,5069.12,5.33871,0.88,-0.612,4.4905,Transit,CANDIDATE
36.762337,18.73,0.177,3.44,0.30689624,12.2,0.0383853,78,809,0.075,88.6971,4932,0.75,0.88,-0.01,4.4905,Transit,CANDIDATE
19.565799,5.3,0.1357,6.412,0.57204131,12.2,0.0383853,78,809,0.075,88.6971,4486,0.854,1.193,-0.122,4.652,Transit,CANDIDATE
6.39916,2.472,0.0401,1.48,0.132,12.2,0.0383853,78,809,0.075,88.6971,5293,0.7006,0.88,-0.01,4.4905,Transit,CANDIDATE
6.3991398,2.1,0.0449,1.85,0.16504595,12.2,0.0383853,78,809,0.075,88.6971,5210,0.8,0.88,-0.01,4.4905,Transit,CANDIDATE
2.72273204,3.596,1.494,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,8002,2.85976,1.93,-0.01,3.81097,Transit,CANDIDATE
15.695142,2.9,0.1357,2.028,0.18092635,12.2,0.0383853,78,809,0.075,88.6971,4270,0.625,0.743,-0.315,4.719,Transit,CANDIDATE
2.48038,1.848,0.0116,1.44,0.128,12.2,0.0383853,78,809,0.075,88.6971,5293,1.27,0.88,-0.01,4.4905,Transit,CANDIDATE
1.9668579,2.4,0.0322,1.51,0.13471318,12.2,0.0383853,78,809,0.075,88.6971,5063,0.77,0.88,-0.01,4.4905,Transit,CANDIDATE
1.96712,2.712,0.0361,1.73,0.154,12.2,0.0383853,78,809,0.075,88.6971,5293,0.826,0.88,-0.01,4.4905,Transit,CANDIDATE
6.738783,2.7888,0.1357,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,4419,0.52,0.88,-0.98,4.4905,Transit,FALSE POSITIVE
12.726743,3.88,0.0579,1.91,0.17039879,12.2,0.0383853,78,809,0.075,88.6971,4767,0.73,0.88,-0.01,4.4905,Transit,CANDIDATE
13.2359,2.64,0.0469,2.09,0.186,12.2,0.0383853,78,809,0.075,88.6971,5293,0.924,0.88,-0.01,4.4905,Transit,CANDIDATE
0.18746328,1.07,1.32,217,19.3594433,12.2,0.0383853,78,809,0.075,88.6971,46696,17.27,0.88,-0.01,4.4905,Transit,CANDIDATE
8.6382631,1.89,2.43,8.53,0.76099563,12.2,0.0383853,78,809,0.075,88.6971,3720,0.5,0.88,-0.01,4.4905,Transit,CANDIDATE
8.63829,1.53192,0.1357,6.81,0.608,12.2,0.0383853,78,809,0.075,88.6971,3960,0.438,0.88,-0.01,4.844,Transit,CANDIDATE
8.6381,2.7888,0.1357,15.99,1.427,12.2,0.0383853,78,536,0.075,88.6971,3987,0.5,0.88,-0.44,4.4905,Transit,CANDIDATE
8.63795,2.0472,2.738,15.1,1.35,12.2,0.0383853,78,809,0.075,88.6971,5293,0.438,0.88,-0.01,4.4905,Transit,CANDIDATE
5.7968861,2.57,9.43,24.2,2.15897939,12.2,0.0383853,78,809,0.075,88.6971,4721,0.72,0.88,-0.01,4.4905,Transit,FALSE POSITIVE
5.79687,2.7888,0.1357,27.81,2.481,12.2,0.0383853,78,930,0.075,88.6971,5192,0.79,0.88,-0.09,4.4905,Transit,FALSE POSITIVE
0.4775252,2.0472,1.5255,20.1,1.79,12.2,0.0383853,78,809,0.075,88.6971,5293,0.522,0.88,-0.01,4.4905,Transit,CANDIDATE
22.197992,2.54,1.52,5.34,0.47640289,12.2,0.0383853,78,809,0.075,88.6971,3508,0.4,0.88,-0.01,4.4905,Transit,CANDIDATE
44.394,2.784,1.517,4.07,0.363,12.2,0.0383853,78,809,0.075,88.6971,5293,0.318,0.88,-0.01,4.4905,Transit,CANDIDATE
3.29163,1.2888,0.0394,1.17,0.104,12.2,0.0383853,78,809,0.075,88.6971,5293,0.567,0.88,-0.01,4.4905,Transit,CANDIDATE
3.2908998,0.96,0.0406,1.57,0.14006602,12.2,0.0383853,78,809,0.075,88.6971,4671,0.72,0.88,-0.01,4.4905,Transit,CANDIDATE
0.877214,2.7888,0.1357,1.3,0.11597843,12.2,0.0383853,78,809,0.075,89.2,5820,0.93,0.88,-0.01,4.6,Transit,CONFIRMED
0.87724,2.7888,0.1357,1.565,0.13962019,7.67,0.02413252,2852,2038,0,78.2,5679,0.98,0.958,0.01,4.435,Transit,CONFIRMED
0.87703,1.0008,0.025,1.2,0.11,12.2,0.0383853,78,1874,0.075,88.6971,5711.17,0.990833,1.018,0.018,4.45381,Transit,CONFIRMED
0.877183,2.7888,0.1357,1.40575209,0.13,12.2,0.0383853,78,809,0.075,84.7005,5705,0.932487,0.88,-0.01,4.48,Transit,CONFIRMED
2.8964139,1.63,0.289,2.45,0.21857436,12.2,0.0383853,78,809,0.075,88.6971,3547,0.42,0.88,-0.01,4.4905,Transit,CANDIDATE
2.89607106,1.874,0.383,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,3565,0.524138,0.521398,-0.01,4.71635,Transit,CANDIDATE
2.896528,1.5984,0.3274,1.45,0.129,12.2,0.0383853,78,809,0.075,88.6971,5293,0.242,0.88,-0.01,4.4905,Transit,CANDIDATE
0.44433632,0.72,0.0134,1.01,0.09010616,12.2,0.0383853,78,809,0.075,88.6971,5208,0.8,0.88,-0.01,4.4905,Transit,CANDIDATE
0.444372,2.7888,0.1357,1.22,0.109,12.2,0.0383853,78,809,0.075,86.9,5540,0.82,0.88,0.03,4.81,Transit,CANDIDATE
