orbital_period,transit_duration,transit_depth,koi_ror,planet_radius,koi_sma,inclination,equilibrium_temp,insolation,koi_srho,stellar_temp,stellar_logg,stellar_radius,stellar_mass,disposition
41.43958662,10.5989,2793.1,0.048175,5.5,0.2288,89.31,516.0,16.72,0.28189,5468.0,4.367,1.046,0.93,CONFIRMED
8.35389523,2.2514,1041.6,0.029305,2.52,0.0768,89.95,790.0,91.9,6.73215,5592.0,4.582,0.787,0.862,CONFIRMED
4.125543472,3.1744,1487.3,0.036796,4.43,0.0529,85.95,1243.0,565.35,0.67162,6174.0,4.417,1.103,1.162,CONFIRMED
2.816504904,2.50587,16814.0,0.117059,12.21,0.0383,89.37,1219.0,521.13,2.09079,5532.0,4.452,0.955,0.941,CONFIRMED
33.93373447,14.561,8503.7,0.095386,7.34,0.1881,86.45,430.0,8.11,0.0371,5040.0,4.628,0.705,0.782,FALSE POSITIVE
3.689920099,2.6557,426.7,0.018878,1.89,0.0469,89.19,1147.0,408.99,1.70798,5880.0,4.518,0.917,1.01,CONFIRMED
4.431238488,3.15,1010.9,0.02933,3.25,0.0529,87.72,1104.0,351.23,1.01996,5714.0,4.428,1.015,1.007,CONFIRMED
11.37936986,2.6255,1023.5,0.035628,3.95,0.0993,86.8,806.0,99.68,0.63438,5714.0,4.428,1.015,1.007,CONFIRMED
26.39432897,3.573,1510.9,0.03681,3.07,0.1635,89.28,489.0,13.49,2.93923,5129.0,4.595,0.763,0.846,CONFIRMED
13.57078281,3.3539,511.7,0.023908,2.64,0.1096,87.07,785.0,89.61,0.49865,5854.0,4.406,1.012,0.951,CONFIRMED
7.12594387,3.0014,192.4,0.01512,1.79,0.0711,84.02,997.0,233.31,0.23879,5779.0,4.339,1.087,0.941,CONFIRMED
7.442652004,2.3078,24446.0,0.143936,15.03,0.0742,89.72,967.0,206.78,7.48712,6108.0,4.469,0.956,0.981,FALSE POSITIVE
16.38489988,3.0249,1127.1,0.029758,2.0,0.1084,90.0,433.0,8.35,5.4538,4126.0,4.661,0.615,0.633,CONFIRMED
7.8774163,2.0805,1306.1,0.03209,2.16,0.0665,89.92,553.0,22.18,8.09685,4126.0,4.661,0.615,0.633,CONFIRMED
36.4454001,4.007,1122.3,0.029681,1.99,0.1847,89.98,332.0,2.88,5.21237,4126.0,4.661,0.615,0.633,CONFIRMED
3.728732147,2.683,5226.5,0.068178,6.02,0.0455,86.7,1023.0,258.34,1.24118,5497.0,4.577,0.809,0.907,CONFIRMED
40.4195037,3.362,6256.0,0.088069,7.51,0.2062,89.05,467.0,11.29,1.89549,5446.0,4.507,0.781,0.714,CANDIDATE
2.243380573,1.1196,821.7,0.032248,1.99,0.028,82.88,822.0,107.6,1.50915,4149.0,4.698,0.564,0.578,CONFIRMED
10.405998015,6.5036,14489.0,0.111248,11.23,0.0855,88.57,833.0,113.94,0.38489,5746.0,4.393,0.924,0.77,FALSE POSITIVE
2.337437946,1.9982,971.2,0.027998,2.34,0.0325,88.19,1070.0,311.16,2.41093,5005.0,4.595,0.765,0.85,CONFIRMED
7.2406612,0.558,556.4,0.232818,19.45,0.0692,87.62,734.0,68.63,8.66412,5005.0,4.595,0.765,0.85,CANDIDATE
3.43591631,3.133,23.2,0.004612,0.55,0.0437,84.62,1272.0,617.61,0.47024,5779.0,4.339,1.087,0.941,CANDIDATE
11.59822233,2.5237,2804.5,0.051287,2.65,0.0798,88.62,396.0,5.82,3.14915,3688.0,4.79,0.473,0.503,CONFIRMED
6.575315881,4.3084,2793.3,0.049152,5.31,0.067,88.03,1015.0,251.38,0.64392,5992.0,4.415,0.989,0.927,CONFIRMED
7.275040844,7.5377,3001.0,0.051358,4.86,0.0732,85.29,833.0,113.64,0.10578,5485.0,4.556,0.867,0.986,CONFIRMED
19.27153892,2.7594,1219.8,0.031585,1.93,0.1171,89.97,393.0,5.66,8.48241,4077.0,4.702,0.56,0.576,CONFIRMED
10.06524317,1.369,1053.3,0.031153,1.91,0.076,89.22,488.0,13.43,18.09666,4077.0,4.702,0.56,0.576,CONFIRMED
12.3935651,3.8896,916.6,0.032536,2.66,0.0983,86.13,677.0,49.68,0.27483,5557.0,4.603,0.75,0.832,CONFIRMED
43.84439721,6.802,615.2,0.025934,2.87,0.2395,88.27,531.0,18.77,0.22039,5854.0,4.406,1.012,0.951,CONFIRMED
3.341913228,3.813,725.3,0.243351,21.55,0.0415,56.44,1032.0,268.67,0.01791,5295.0,4.551,0.811,0.853,FALSE POSITIVE
1.626630225,2.1145,1620.6,0.305244,32.43,0.026,58.03,1547.0,1355.88,0.09631,5735.0,4.41,0.973,0.889,FALSE POSITIVE
2.711504086,3.0099,837.5,0.026533,3.12,0.0401,89.81,1420.0,960.79,0.91618,6214.0,4.442,1.076,1.169,CONFIRMED
7.21203748,4.0491,950.4,0.028255,3.32,0.077,89.95,1025.0,260.58,0.99867,6214.0,4.442,1.076,1.169,CONFIRMED
14.1798187,2.505,459.9,0.019561,1.88,0.1137,89.95,711.0,60.35,7.76746,5799.0,4.539,0.878,0.975,FALSE POSITIVE
8.47237911,2.7245,1123.5,0.030119,2.59,0.0778,89.95,751.0,75.44,3.86328,5354.0,4.587,0.788,0.884,CONFIRMED
60.4189369,5.039,931.3,0.027422,2.36,0.2884,89.94,390.0,5.49,4.26444,5354.0,4.587,0.788,0.884,CONFIRMED
12.611904345,5.1497,6105.6,0.073758,7.4,0.1058,88.17,753.0,76.15,0.61222,5795.0,4.508,0.919,0.992,CONFIRMED
1.433769925,1.8868,1976.3,0.318591,46.58,0.0256,58.99,1920.0,3209.29,0.1372,6017.0,4.22,1.339,1.083,FALSE POSITIVE
10.31872301,3.836,871.7,0.247006,28.59,0.0944,78.15,876.0,139.26,0.03681,5927.0,4.409,1.06,1.05,FALSE POSITIVE
2.539183147,2.4282,382.1,0.017724,2.06,0.0355,88.28,1332.0,743.09,1.46261,5519.0,4.35,1.062,0.921,CONFIRMED
6.770300385,2.0844,1304.0,0.037414,2.77,0.064,86.84,812.0,102.87,1.45164,5653.0,4.656,0.679,0.767,CONFIRMED
0.444291966,2.0792,10967.0,0.396105,27.51,0.0101,39.97,1836.0,2706.26,0.42351,5255.0,4.678,0.636,0.709,FALSE POSITIVE
10.181584004,3.5089,5741.1,0.084708,7.73,0.0884,85.87,812.0,102.91,0.38059,5988.0,4.541,0.836,0.885,CANDIDATE
20.06036336,3.3203,1494.7,0.036455,1.96,0.115,89.21,361.0,4.0,3.09445,3950.0,4.754,0.493,0.502,CONFIRMED
46.1842039,4.758,1394.7,0.033974,1.83,0.2005,89.99,273.0,1.32,3.99779,3950.0,4.754,0.493,0.502,CONFIRMED
23.9800854,5.351,104.0,0.011879,1.31,0.1602,85.45,649.0,41.94,0.05654,5854.0,4.406,1.012,0.951,CONFIRMED
7.82502168,2.186,520.8,0.022312,1.2,0.0614,87.99,494.0,14.05,2.54508,3950.0,4.754,0.493,0.502,CONFIRMED
3.895936525,2.3111,8544.8,0.08689,7.34,0.046,87.56,1005.0,241.62,2.31292,5557.0,4.592,0.774,0.866,CONFIRMED
22.36646466,5.228,986.8,0.028938,2.32,0.1449,89.26,536.0,19.45,1.12517,5395.0,4.615,0.734,0.821,CONFIRMED
1.625522174,2.38963,7969.0,0.080543,9.73,0.0265,89.22,1579.0,1467.41,1.28198,5539.0,4.322,1.106,0.935,CONFIRMED
19.620346923,2.0038,21725.0,0.137595,13.6,0.1389,89.66,643.0,40.39,23.21659,5710.0,4.492,0.905,0.928,CANDIDATE
7.544039,6.222,322.6,0.194187,17.47,0.0731,58.94,838.0,116.46,0.00393,5657.0,4.567,0.824,0.919,FALSE POSITIVE
9.02930689,3.1449,1019.8,0.028718,2.57,0.0796,89.94,757.0,77.75,2.66613,5349.0,4.526,0.82,0.824,CONFIRMED
10.328035714,7.7915,16918.0,0.118805,13.28,0.0888,88.54,843.0,119.31,0.23528,5627.0,4.359,1.024,0.874,FALSE POSITIVE
143.2063047,8.9302,10566.0,0.094044,8.9,0.5336,89.83,308.0,2.14,1.83449,5485.0,4.556,0.867,0.986,CONFIRMED
6.164876,3.262,55.8,0.007192,0.79,0.0648,86.69,1021.0,256.35,0.69664,5854.0,4.406,1.012,0.951,CONFIRMED
60.32494216,6.6188,20280.0,0.128744,12.19,0.2998,89.83,411.0,6.77,2.37656,5485.0,4.556,0.867,0.986,CONFIRMED
29.1598615,4.803,488.0,0.02018,1.91,0.1847,89.38,524.0,17.85,1.92739,5485.0,4.556,0.867,0.986,CONFIRMED
1.540397253,2.1541,816.1,0.257087,25.69,0.0264,51.56,1470.0,1105.68,0.06102,5663.0,4.53,0.915,1.034,FALSE POSITIVE
2.99025443,5.414,589.2,0.021279,1.7,0.0367,89.81,918.0,168.45,0.17407,4667.0,4.578,0.731,0.737,FALSE POSITIVE
1.594745374,1.9604,15044.0,0.115879,11.3,0.0258,85.25,1539.0,1329.42,1.77544,5934.0,4.491,0.893,0.901,CONFIRMED
4.783002698,2.335,1008.7,0.028315,2.5,0.0535,89.99,886.0,145.48,3.45234,5170.0,4.574,0.807,0.891,CONFIRMED
20.50588921,4.0595,2105.5,0.041039,3.41,0.1326,89.62,518.0,17.06,2.64998,4905.0,4.544,0.761,0.739,CONFIRMED
3.340218842,1.9104,1632.6,0.037683,2.03,0.0348,87.85,656.0,43.73,3.23586,3950.0,4.754,0.493,0.502,CONFIRMED
2.507089906,2.0067,1339.2,0.295115,30.26,0.0365,67.79,1326.0,730.47,0.11003,5926.0,4.506,0.939,1.03,FALSE POSITIVE
18.64932728,4.4056,893.6,0.027096,3.12,0.139,89.86,701.0,57.13,1.97596,5775.0,4.405,1.053,1.026,CONFIRMED
4.90144976,4.1654,140.7,0.011136,1.7,0.0586,86.1,1262.0,598.74,0.3709,5847.0,4.191,1.402,1.113,CONFIRMED
9.75192101,4.793,418.0,0.024042,2.76,0.0902,80.97,870.0,135.66,0.044,5775.0,4.405,1.053,1.026,CONFIRMED
38.5576546,5.794,993.0,0.03498,4.02,0.2255,87.91,550.0,21.71,0.19756,5775.0,4.405,1.053,1.026,CONFIRMED
3.525632539,2.59959,22335.0,0.13372,11.58,0.0431,89.41,975.0,213.12,2.43681,5150.0,4.572,0.793,0.855,CONFIRMED
34.84398644,2.9315,4523.6,0.080046,7.61,0.1971,88.92,511.0,16.1,1.86832,5509.0,4.482,0.871,0.84,CANDIDATE
7.748094239,3.5957,2472.1,0.046615,5.52,0.081,88.02,964.0,204.39,1.06292,5973.0,4.439,1.085,1.181,CONFIRMED
23.96793669,3.827,1182.3,0.03141,1.8,0.1322,89.47,329.0,2.77,3.03325,3747.0,4.728,0.524,0.536,CONFIRMED
8.29561738,1.3421,824.3,0.03178,1.82,0.0652,87.95,469.0,11.39,4.18931,3747.0,4.728,0.524,0.536,CONFIRMED
8.11437482,2.2736,1558.0,0.037204,2.1,0.0649,88.61,460.0,10.55,3.76716,3692.0,4.753,0.517,0.553,CONFIRMED
38.036729482,4.34617,82872.0,0.27018,27.5,0.2252,89.63,500.0,14.81,6.21385,5575.0,4.521,0.932,1.051,FALSE POSITIVE
4.64090031,35.512,2450.6,0.333559,30.09,0.0503,19.01,1155.0,421.08,0.00218,6463.0,4.5,0.826,0.786,CANDIDATE
3.747838198,5.0642,616.0,0.151387,13.65,0.046,53.12,1031.0,266.76,0.00878,5514.0,4.569,0.826,0.926,FALSE POSITIVE
14.74914825,6.0995,430.2,0.018864,2.89,0.1221,89.47,874.0,137.91,0.55575,5847.0,4.191,1.402,1.113,CONFIRMED
21.81295996,4.3791,1175.4,0.030952,3.38,0.1495,89.92,639.0,39.33,2.39175,5601.0,4.41,0.999,0.934,CONFIRMED
7.91936937,3.3148,15148.0,0.121984,10.34,0.0737,87.3,814.0,104.0,1.13074,5690.0,4.588,0.776,0.852,FALSE POSITIVE
1.028436523,1.8606,8098.0,0.673134,72.77,0.0197,57.3,1947.0,3400.48,0.43236,6228.0,4.428,0.99,0.959,CANDIDATE
15.37562369,3.3169,15337.0,0.12103,11.01,0.1121,88.73,600.0,30.54,2.43887,4986.0,4.496,0.833,0.793,CONFIRMED
